Lãi suất thống kê của NHNN (Đơn vị: %),Lãi suất huy động bình quân,   Lãi suất huy động bình quân trên 12 tháng (thấp nhất),   Lãi suất huy động bình quân trên 12 tháng (cao nhất),Lãi suất cho vay bình quân,   Cho vay VND ngắn hạn (thấp nhất),   Cho vay VND ngắn hạn (cao nhất),   Cho vay VND trung và dài hạn (thấp nhất),   Cho vay VND trung và dài hạn (cao nhất),   Cho vay USD ngắn hạn (thấp nhất),   Cho vay USD ngắn hạn (cao nhất),   Cho vay USD trung và dài hạn (thấp nhất),   Cho vay USD trung và dài hạn (cao nhất)
1/2020,,6.60%,7.50%,,6.00%,9.00%,9.00%,11.00%,3.00%,4.70%,4.50%,6.00%
2/2020,,6.60%,7.50%,,6.00%,9.00%,9.00%,11.00%,3.00%,4.70%,4.50%,6.00%
3/2020,,6.60%,7.44%,,6.00%,9.00%,9.00%,11.00%,3.00%,4.70%,4.50%,6.00%
4/2020,,6.60%,7.40%,,6.00%,9.00%,9.00%,11.00%,3.00%,4.63%,4.40%,6.00%
5/2020,,6.60%,7.40%,,6.00%,9.00%,9.00%,11.00%,3.00%,4.50%,4.20%,6.00%
6/2020,,6.50%,7.36%,,6.00%,9.00%,9.00%,11.00%,3.00%,4.50%,4.20%,6.00%
7/2020,,6.00%,7.30%,,6.00%,9.00%,9.00%,11.00%,3.00%,4.50%,4.20%,6.00%
8/2020,,6.00%,7.20%,,4.50%,4.50%,,,3.00%,4.50%,4.20%,6.00%
9/2020,,6.00%,7.08%,,4.50%,4.50%,,,3.00%,4.50%,4.20%,6.00%
10/2020,,6.00%,7.00%,,4.50%,4.50%,,,3.00%,4.50%,4.20%,6.00%
11/2020,,5.80%,6.90%,,4.50%,4.50%,,,3.00%,4.50%,4.20%,6.00%
12/2020,,5.60%,6.80%,,4.50%,4.50%,,,3.00%,4.50%,4.20%,6.00%
2/2021,,5.60%,6.70%,,4.50%,4.50%,,,3.00%,6.00%,3.00%,6.00%
3/2021,,5.60%,6.70%,,4.50%,4.50%,,,3.00%,6.00%,3.00%,6.00%
4/2021,,5.60%,6.70%,,4.50%,4.50%,,,3.00%,6.00%,3.00%,6.00%
5/2021,,5.60%,6.70%,,4.50%,4.50%,,,3.00%,6.00%,3.00%,6.00%
6/2021,,5.60%,6.70%,,4.50%,4.50%,,,3.00%,6.00%,3.00%,6.00%
7/2021,,5.40%,6.80%,,4.50%,4.50%,,,3.00%,6.00%,3.00%,6.00%
8/2021,,5.50%,6.80%,,4.40%,4.40%,7.70%,9.50%,3.00%,6.00%,3.00%,6.00%
9/2021,,5.40%,6.70%,,4.40%,4.40%,7.60%,9.50%,3.00%,6.00%,3.00%,6.00%
10/2021,,5.50%,6.60%,,4.30%,4.30%,7.60%,9.30%,3.00%,6.00%,3.00%,6.00%
11/2021,,5.40%,6.50%,,4.30%,4.30%,7.60%,9.30%,3.00%,6.00%,3.00%,6.00%
12/2021,,5.30%,6.50%,,4.30%,4.30%,7.60%,9.20%,2.00%,3.20%,3.20%,4.40%
1/2022,,5.40%,6.50%,,4.30%,4.30%,7.80%,9.20%,2.00%,3.20%,3.40%,4.30%
2/2022,,5.30%,6.50%,,4.30%,4.30%,7.80%,9.20%,2.00%,3.20%,3.50%,4.20%
3/2022,,5.40%,6.40%,,4.30%,4.30%,7.70%,9.20%,2.00%,3.20%,3.70%,4.20%
4/2022,,5.50%,6.50%,,4.30%,4.30%,7.70%,9.20%,2.10%,3.20%,3.90%,4.30%
5/2022,,5.40%,6.50%,,4.30%,4.30%,7.80%,9.20%,2.20%,3.30%,4.10%,4.30%
6/2022,,5.40%,6.60%,,4.30%,4.30%,7.90%,9.30%,2.30%,3.40%,4.20%,4.50%
7/2022,,5.40%,6.60%,,4.40%,4.40%,7.90%,9.30%,2.40%,3.60%,4.40%,4.60%
8/2022,,5.50%,6.60%,,4.50%,4.50%,8.00%,9.50%,2.70%,3.80%,4.50%,5.10%
9/2022,,5.50%,6.70%,,4.50%,4.50%,8.10%,9.50%,2.90%,4.10%,5.00%,5.40%
10/2022,,5.60%,6.80%,,5.50%,5.50%,8.40%,9.90%,3.20%,4.50%,5.20%,5.70%
11/2022,,5.70%,7.00%,,5.50%,5.50%,8.80%,10.30%,3.80%,4.90%,5.60%,5.70%
12/2022,,6.00%,7.40%,,5.50%,5.50%,9.00%,10.70%,3.90%,5.40%,5.80%,5.90%
1/2023,,6.20%,7.60%,,5.50%,5.50%,9.40%,11.20%,4.20%,5.70%,6.00%,6.10%
2/2023,,6.40%,7.70%,,5.50%,5.50%,9.50%,11.30%,4.30%,5.80%,6.10%,6.20%
3/2023,,6.70%,7.90%,,5.50%,5.50%,9.60%,11.30%,4.40%,5.70%,6.10%,6.40%
4/2023,,6.80%,8.00%,,4.50%,4.50%,9.60%,11.20%,4.40%,5.70%,6.10%,6.40%
5/2023,,6.90%,8.20%,,4.50%,4.50%,9.50%,11.20%,4.40%,5.60%,6.20%,7.20%
6/2023,,7.20%,8.20%,,4.00%,4.00%,9.30%,11.10%,4.40%,5.60%,6.20%,7.40%
7/2023,,7.30%,8.50%,,4.00%,4.00%,9.30%,11.40%,4.40%,5.50%,5.90%,7.50%
8/2023,,7.40%,8.50%,,4.00%,4.00%,9.10%,11.20%,4.40%,5.50%,5.90%,7.60%
9/2023,,7.50%,8.50%,,4.00%,4.00%,8.80%,11.00%,4.40%,5.50%,5.80%,7.80%
10/2023,,7.40%,8.40%,,4.00%,4.00%,8.60%,10.70%,4.30%,5.40%,6.20%,7.40%
11/2023,,7.30%,8.30%,,4.00%,4.00%,8.30%,10.30%,4.30%,5.30%,6.20%,7.40%
12/2023,,7.20%,8.10%,,4.00%,4.00%,8.00%,10.10%,4.30%,5.30%,6.30%,7.40%
1/2024,,6.80%,7.80%,,4.00%,4.00%,7.80%,10.10%,4.30%,5.20%,6.60%,7.40%
2/2024,,6.80%,7.50%,,4.00%,4.00%,7.70%,9.90%,4.20%,5.20%,6.60%,7.30%
3/2024,,6.20%,7.20%,,4.00%,4.00%,7.50%,9.70%,4.20%,5.10%,6.50%,7.30%
4/2024,,6.00%,6.90%,,4.00%,4.00%,7.30%,9.50%,4.30%,5.10%,6.30%,7.20%
5/2024,,5.80%,6.60%,,4.00%,4.00%,7.10%,9.40%,4.20%,5.00%,6.50%,7.20%
6/2024,,5.70%,6.40%,,4.00%,4.00%,6.90%,9.30%,4.20%,5.00%,6.60%,7.40%
7/2024,,5.50%,6.20%,,4.00%,4.00%,6.90%,9.30%,4.10%,5.00%,6.30%,7.40%
8/2024,,5.30%,6.10%,,4.00%,4.00%,6.80%,9.20%,4.10%,5.00%,6.30%,7.30%
9/2024,,5.30%,6.00%,,4.00%,4.00%,6.70%,9.10%,4.10%,5.00%,6.20%,7.30%
10/2024,,5.20%,6.00%,,4.00%,4.00%,6.70%,9.10%,4.10%,5.00%,6.00%,7.00%
11/2024,,5.10%,6.00%,,4.00%,4.00%,6.70%,9.00%,4.10%,5.00%,6.00%,7.00%
12/2024,,5.00%,5.90%,,4.00%,4.00%,6.70%,9.00%,4.10%,4.90%,5.80%,7.00%
1/2025,,4.90%,5.90%,,4.00%,4.00%,6.70%,9.00%,4.00%,4.90%,6.20%,7.00%
2/2025,,4.80%,6.00%,,4.00%,4.00%,6.70%,9.00%,4.20%,5.00%,0.00%,0.00%
3/2025,,4.80%,6.00%,,4.00%,4.00%,6.60%,9.00%,4.20%,5.00%,0.00%,0.00%
4/2025,,4.80%,6.00%,,4.00%,4.00%,6.60%,8.90%,4.20%,5.00%,0.00%,0.00%
5/2025,,4.80%,6.00%,,4.00%,4.00%,6.60%,8.90%,4.10%,5.00%,0.00%,0.00%
6/2025,,4.80%,6.10%,,4.00%,4.00%,6.50%,8.80%,4.10%,5.00%,0.00%,0.00%
7/2025,,4.90%,6.10%,,4.00%,4.00%,6.50%,8.90%,4.10%,5.00%,0.00%,0.00%
